cycle,N,Nm,Nf,g,pi,mean_fitness,mean_froh,B,het,m2_ind,m3_ind,m4_ind,m5_ind,m6_ind
42000,35119,10770,7939,2.15281,0.000102932,0.521868,0.0127355,0.0264059,0.00010293,52.8077,1.47615,0.744042,0.119707,0.0194482
43000,31428,9823,7007,2.14522,0.000104865,0.509816,0.0131244,0.0342699,0.000104863,53.1492,1.45094,0.831424,0.165394,0.029846
44000,34884,10758,7830,2.13224,0.000106606,0.506827,0.0127171,0.0265701,0.000106605,56.9916,1.77732,0.640695,0.113949,0.0213565
45000,32724,10137,7340,2.1177,0.000108324,0.469771,0.0124706,0.0218258,0.000108323,58.5259,1.85812,0.70022,0.14659,0.00525608
46000,30264,9253,6738,2.12663,0.000110056,0.511563,0.012168,0.0283791,0.000110054,59.1788,2.16118,0.738898,0.181172,0.0122588
47000,31821,9745,7198,2.15346,0.000111724,0.47964,0.0123241,0.0355091,0.000111722,59.7196,1.87031,0.696081,0.11417,0.0363596
48000,31091,9664,7010,2.14993,0.000113573,0.466762,0.0123221,0.0220973,0.000113571,60.4893,1.88071,0.714483,0.0862307,0.0120292
49000,34378,10608,7807,2.12528,0.000115294,0.606968,0.0126764,0.029878,0.000115292,62.5228,1.66438,0.684158,0.0837454,0.0292047
50000,34239,10650,7707,2.14272,0.00011691,0.521488,0.0121514,0.0205842,0.000116908,61.8033,1.63115,0.660679,0.0769006,0.0136686
51000,33647,10464,7541,2.15551,0.000118411,0.432895,0.0125285,0.0199547,0.00011841,64.8779,1.58014,0.612447,0.108271,0.00980771
52000,31484,9740,7057,2.14032,0.000120052,0.480301,0.0121879,0.0210071,0.00012005,66.2495,1.6145,0.638165,0.178249,0.00200102
53000,29310,9158,6544,2.12616,0.000121738,0.402601,0.0124453,0.0242144,0.000121736,66.8106,1.73593,0.733367,0.11914,0.0137496
54000,30853,9341,6990,2.13943,0.000123505,0.447024,0.0126598,0.0226248,0.000123503,67.4965,1.85035,0.765339,0.141737,0.00262535
55000,32407,9945,7307,2.11251,0.000125077,0.47525,0.0126882,0.0221392,0.000125075,67.6787,1.5027,0.742093,0.0970469,0.0120344
56000,28313,8671,6315,2.11844,0.000126645,0.365593,0.0121476,0.0239939,0.000126643,66.809,1.31597,0.783668,0.0756543,0.0186134
57000,32468,10080,7236,2.14842,0.000128238,0.502085,0.0114578,0.0276356,0.000128236,67.8138,1.47012,0.705495,0.0931379,0.0236233
58000,29372,9024,6558,2.13156,0.000129564,0.436358,0.0102964,0.0264837,0.000129562,68.0003,1.33648,0.518657,0.170877,0.0142312
59000,35773,11209,7989,2.12027,0.000131255,0.551937,0.0105326,0.0174843,0.000131253,71.0424,1.5432,0.685797,0.134403,0.0010343
60000,26773,8232,6056,2.13032,0.000132799,0.362136,0.010899,0.0252093,0.000132796,71.8716,1.55567,0.723938,0.185635,0.00941247
61000,33631,10526,7527,2.1515,0.000134361,0.432736,0.0113708,0.0169223,0.000134359,72.9287,1.54765,0.686212,0.0768339,0.00761202
62000,31581,9684,7049,2.13781,0.000135839,0.442865,0.0110985,0.0226396,0.000135836,73.7245,1.54428,0.773756,0.0951205,0.0118742
63000,41097,12727,9260,2.12944,0.00013748,0.742403,0.0116761,0.0292973,0.000137478,74.4035,1.579,0.763243,0.202132,0.00968441
64000,26522,8241,6019,2.13499,0.00013877,0.46713,0.0125797,0.0416114,0.000138767,76.3903,1.42516,0.639771,0.141354,0.044416
65000,31921,9890,7157,2.13187,0.000140223,0.339666,0.0118552,0.0294669,0.000140221,76.4578,1.66317,0.65637,0.262272,0.00632812
66000,30709,9435,6890,2.14352,0.000141467,0.477897,0.0120839,0.0292781,0.000141465,79.3746,1.39897,0.690905,0.155655,0.0179101
67000,30676,9547,6826,2.1384,0.000143136,0.458127,0.011923,0.028574,0.000143134,82.6506,1.57371,0.54616,0.122604,0.0251337
68000,33063,10217,7475,2.12904,0.000144559,0.467888,0.0121713,0.0256068,0.000144556,85.1155,1.2641,0.550162,0.165956,0.00943653
69000,29520,9001,6635,2.143,0.000145948,0.42365,0.0130761,0.0342139,0.000145946,85.054,1.2438,0.590617,0.13147,0.034519
70000,30618,9336,6900,2.13341,0.000147204,0.525681,0.0125857,0.0146117,0.000147202,84.8659,1.41257,0.524397,0.0484029,0.00872036
71000,30766,9362,6929,2.14278,0.000148361,0.383108,0.0124912,0.0195358,0.000148359,87.7015,1.70812,0.623383,0.102126,0.00682572
72000,27431,8526,6163,2.15413,0.000149693,0.404416,0.0121838,0.0263525,0.00014969,91.8823,1.7291,0.772192,0.0956582,0.0182276
73000,31128,9472,7093,2.12538,0.000151159,0.395099,0.0116901,0.0244069,0.000151157,90.4224,1.73535,0.765484,0.150957,0.00632871
74000,34459,10755,7724,2.14622,0.000152401,0.505442,0.0114458,0.0200452,0.000152399,91.3544,1.69752,0.658957,0.113962,0.00908326
75000,30895,9531,6912,2.12662,0.00015386,0.458674,0.0115189,0.0198629,0.000153857,90.7299,1.41567,0.646901,0.141738,0.00184496
76000,31089,9610,6956,2.14421,0.000155043,0.470508,0.011562,0.0237218,0.000155041,90.8325,1.44385,0.568497,0.100904,0.0155682
77000,36823,11157,8288,2.14492,0.0001561,0.503149,0.0109693,0.0295056,0.000156098,93.2166,1.80958,0.595633,0.161285,0.0219157
78000,33294,10329,7506,2.14814,0.000157252,0.46452,0.0109415,0.0248469,0.00015725,94.1996,1.65949,0.661501,0.130414,0.012705
79000,27667,8446,6233,2.13005,0.000158409,0.497442,0.0107,0.0267584,0.000158406,95.7549,1.65085,0.718112,0.160119,0.0137348
80000,33159,10378,7470,2.14708,0.000159584,0.495998,0.0100286,0.0199452,0.000159582,97.9736,1.84936,0.616364,0.0963841,0.0106155
81000,32849,10216,7303,2.15709,0.000160864,0.485018,0.0102626,0.0201513,0.000160861,100.796,1.66428,0.662821,0.115285,0.00487077
82000,35704,10963,8016,2.14442,0.000161955,0.47939,0.00917317,0.0290816,0.000161953,101.124,1.43785,0.695552,0.25619,0.00557361
83000,34983,10656,7847,2.14117,0.000163112,0.522493,0.00917209,0.0273109,0.00016311,101.977,1.33013,0.686333,0.213275,0.00943315
84000,27296,8271,6252,2.15761,0.000164248,0.375854,0.0085752,0.0217659,0.000164245,104.136,1.32913,0.704169,0.16017,0.00216149
85000,31431,9637,7061,2.14822,0.000165518,0.413119,0.00817654,0.0252012,0.000165515,104.992,1.24269,0.598199,0.162292,0.00773122
86000,29622,9037,6689,2.13112,0.000166798,0.447928,0.00800247,0.0290648,0.000166795,104.867,1.41111,0.543211,0.184052,0.0181622
87000,37492,11660,8397,2.15586,0.000167912,0.518202,0.00784982,0.0224723,0.00016791,105.42,1.34983,0.527232,0.151739,0.00826843
88000,33026,10134,7404,2.12373,0.000168877,0.494953,0.00709369,0.0310459,0.000168875,108.828,1.20393,0.767486,0.229668,0.00941682
89000,35603,10897,8004,2.14221,0.000169999,0.530418,0.00675904,0.0390384,0.000169997,109.344,1.08893,0.842766,0.189844,0.0297728
90000,31069,9495,7146,2.14302,0.000171104,0.422195,0.00650475,0.0226788,0.000171102,111.63,1.14326,0.60327,0.176864,0.00572918
91000,31386,9676,7171,2.11747,0.000172024,0.457701,0.00605871,0.0273519,0.000172021,114.07,1.23673,0.585165,0.129994,0.0180972
92000,30581,9498,6868,2.13485,0.000172931,0.404804,0.00632154,0.0182154,0.000172928,114.614,1.21739,0.782512,0.0808345,0.00601681
93000,31379,9689,7029,2.1298,0.000173869,0.43093,0.00535717,0.0180714,0.000173866,115.103,1.4772,0.807865,0.0515631,0.00863635
94000,28592,8816,6458,2.15458,0.00017499,0.497221,0.00573006,0.0189132,0.000174987,116.959,1.7799,0.759198,0.0479855,0.009723
95000,39170,12106,8793,2.15092,0.000175919,0.574216,0.00593252,0.0142677,0.000175917,116.826,1.89385,0.706995,0.0674751,0.0023998
96000,28652,8884,6369,2.15538,0.000176884,0.373955,0.00575306,0.0207646,0.000176881,116.77,1.75764,0.802178,0.0962236,0.00687561
97000,29499,9142,6585,2.13207,0.000177941,0.493849,0.00536683,0.0256581,0.000177938,117.695,1.37228,0.775687,0.13014,0.0127123
98000,27017,8347,6082,2.12731,0.000178945,0.40728,0.00510161,0.0332798,0.000178942,118.089,1.32879,0.736573,0.210941,0.0169153
99000,30092,9433,6640,2.15162,0.00017985,0.460411,0.00577946,0.0277982,0.000179847,117.189,1.37575,0.781171,0.12279,0.0164496
100000,29956,9204,6686,2.13537,0.000180669,0.497128,0.00617997,0.0232957,0.000180666,115.901,1.25421,0.542195,0.158966,0.0123848
101000,31878,9734,7195,2.14301,0.00018151,0.484688,0.00662325,0.0232144,0.000181507,116.889,1.33117,0.638748,0.128741,0.0113244
102000,25238,7635,5661,2.10469,0.000182324,0.363394,0.00655728,0.0315363,0.00018232,118.063,1.25767,0.634123,0.136817,0.0263888
103000,29873,9173,6753,2.12288,0.000183074,0.425021,0.00651438,0.0178626,0.000183071,120.343,1.26616,0.645868,0.117397,0.000836876
104000,32897,10236,7347,2.14645,0.000184078,0.437119,0.00562125,0.0178599,0.000184075,121.654,1.2837,0.615588,0.0793385,0.00881539
105000,33554,10295,7497,2.13208,0.00018523,0.494834,0.00563626,0.0248305,0.000185227,121.469,1.38797,0.635364,0.122906,0.0127258
106000,31914,9773,7171,2.12801,0.000185868,0.459592,0.00532945,0.0247267,0.000185865,119.689,1.46641,0.654697,0.124992,0.0163251
