cycle,N,Nm,Nf,g,pi,mean_fitness,mean_froh,B,het,m2_ind,m3_ind,m4_ind,m5_ind,m6_ind
191000,28870,8925,6453,2.14872,0.000231393,0.381708,0.00419775,0.0189807,0.000231389,200.987,1.49505,0.621683,0.0977139,0.00478005
192000,29029,8934,6549,2.16302,0.000231393,0.334305,0.00411321,0.0196956,0.000231389,201.055,1.49023,0.672741,0.0918047,0.00754418
193000,32721,10250,7338,2.15226,0.000231975,0.515876,0.00399468,0.0183408,0.000231971,204.623,1.56209,0.529568,0.13065,0.00140583
194000,28231,8725,6393,2.12257,0.000232706,0.36826,0.00425892,0.0265117,0.000232702,206.869,1.59406,0.564202,0.138217,0.0190925
195000,31856,9809,7120,2.13368,0.000232738,0.41454,0.00425228,0.019877,0.000232734,208.815,1.93847,0.580519,0.125848,0.00737695
196000,28513,8695,6461,2.12576,0.000233088,0.412447,0.00375188,0.0227901,0.000233084,209.245,1.90811,0.548241,0.110511,0.0167292
197000,27575,8512,6139,2.13419,0.000233255,0.449828,0.00343146,0.0262317,0.00023325,211.052,1.86705,0.655558,0.0838803,0.0225567
198000,31531,9903,7025,2.15082,0.000233544,0.401333,0.0034033,0.0223758,0.00023354,215.478,1.92534,0.731344,0.120009,0.00646982
199000,30610,9595,6889,2.14978,0.000233921,0.460129,0.00344253,0.0224813,0.000233917,217.503,2.02101,0.802287,0.109605,0.00927801
200000,25176,7758,5636,2.17306,0.000233895,0.376097,0.00354029,0.0264328,0.00023389,217.299,1.95007,0.772124,0.100493,0.0189863
201000,26083,8070,5934,2.15431,0.000234074,0.408948,0.00362564,0.0223933,0.000234069,219.897,1.6814,0.709888,0.108078,0.0117701
202000,33874,10433,7636,2.13249,0.000234269,0.439028,0.00376874,0.0188996,0.000234266,219.898,1.57909,0.767698,0.091309,0.00590423
203000,27849,8546,6204,2.13383,0.000234533,0.383658,0.00377076,0.0195645,0.000234529,218.81,1.64929,0.590075,0.140651,0.00445258
204000,35004,10727,7854,2.12545,0.000234786,0.452915,0.00408757,0.0226426,0.000234783,220.327,1.71032,0.688036,0.0885613,0.0167695
205000,29020,9136,6416,2.12622,0.000235148,0.450867,0.00440548,0.0237814,0.000235144,221.685,1.70979,0.776327,0.0986216,0.0158856
206000,33151,10327,7382,2.14473,0.000235072,0.589896,0.0046234,0.0233116,0.000235068,221.735,1.54288,0.824862,0.113028,0.0108292
207000,27298,8311,6183,2.14185,0.000235162,0.351374,0.00415506,0.0238163,0.000235157,222.374,1.57319,0.682065,0.140633,0.00901165
