1000,2.66012e-08,F,R1
2000,4.19671e-08,F,R1
3000,6.46364e-08,F,R1
4000,5.82006e-08,F,R1
5000,5.75459e-08,F,R1
6000,4.85007e-08,F,R1
7000,4.75407e-08,F,R1
8000,5.12518e-08,F,R1
9000,5.38158e-08,F,R1
10000,6.43616e-08,F,R1
11000,6.81936e-08,F,R1
12000,7.03018e-08,F,R1
13000,5.33744e-08,F,R1
14000,5.78966e-08,F,R1
15000,4.55204e-08,F,R1
16000,6.63066e-08,F,R1
17000,7.14331e-08,F,R1
18000,5.58085e-08,F,R1
19000,5.2986e-08,F,R1
20000,5.07383e-08,F,R1
21000,6.16299e-08,F,R1
22000,5.30804e-08,F,R1
23000,5.02876e-08,F,R1
24000,6.11296e-08,F,R1
25000,4.70242e-08,F,R1
26000,6.65271e-08,F,R1
27000,6.14623e-08,F,R1
28000,5.3273e-08,F,R1
29000,5.42478e-08,F,R1
30000,5.70906e-08,F,R1
31000,5.91849e-08,F,R1
32000,5.00212e-08,F,R1
33000,4.48281e-08,F,R1
34000,4.63433e-08,F,R1
