34164,3603.79,840,474,2.12262,R1
34164,4110.57,840,474,2.12262,R1
34164,3776.48,840,474,2.12262,R1
34164,3750.63,840,474,2.12262,R1
34164,4221.27,840,474,2.12262,R1
34165,3965.1,1985,1041,1.89169,R1
34166,4116.15,1984,1040,2.88609,R1
34167,4665.31,1984,1040,3.88609,R1
34168,4345.76,1983,1040,4.88149,R1
34169,3846.64,1980,1039,5.86919,R1
34170,4082.74,1977,1038,6.85837,R1
34171,4153.44,1965,1029,7.82087,R1
34172,4288.39,1948,1018,8.77567,R1
34173,3469.44,1918,1002,9.70959,R1
34174,3399.95,1858,967,10.6033,R1
34175,3665.26,1759,903,11.4684,R1
34176,4326.8,1548,789,12.2597,R1
34177,3961.54,1146,568,13.0,R1
34164,3955.41,840,474,2.12262,R1
34165,4671.79,1985,1041,1.89169,R1
34166,4298.81,1984,1040,2.88609,R1
34167,4451.03,1984,1040,3.88609,R1
34168,4453.32,1983,1040,4.88149,R1
34169,4342.36,1980,1039,5.86919,R1
34170,3721.63,1977,1038,6.85837,R1
34171,3730.19,1965,1029,7.82087,R1
34172,3703.18,1948,1018,8.77567,R1
34173,4480.72,1918,1002,9.70959,R1
34174,4144.65,1858,967,10.6033,R1
34175,4103.63,1759,903,11.4684,R1
34176,4192.3,1548,789,12.2597,R1
34177,3520.99,1146,568,13.0,R1
34164,3614.53,840,474,2.12262,R1
34165,3902.82,1985,1041,1.89169,R1
34166,4510.59,1984,1040,2.88609,R1
34167,3992.5,1984,1040,3.88609,R1
34168,4027.53,1983,1040,4.88149,R1
34169,3977.52,1980,1039,5.86919,R1
34170,5036.89,1977,1038,6.85837,R1
34171,4047.91,1965,1029,7.82087,R1
34172,3786.81,1948,1018,8.77567,R1
34173,3864.11,1918,1002,9.70959,R1
34174,4187.97,1858,967,10.6033,R1
34175,3730.39,1759,903,11.4684,R1
34176,4207.06,1548,789,12.2597,R1
34177,3954.14,1146,568,13.0,R1
34164,3587.5,840,474,2.12262,R1
34165,4063.54,1985,1041,1.89169,R1
34166,3545.33,1984,1040,2.88609,R1
34167,4234.79,1984,1040,3.88609,R1
34168,3931.79,1983,1040,4.88149,R1
34169,4458.43,1980,1039,5.86919,R1
34170,4260.42,1977,1038,6.85837,R1
34171,3901.28,1965,1029,7.82087,R1
34172,4362.47,1948,1018,8.77567,R1
34173,4834.62,1918,1002,9.70959,R1
34174,4581.09,1858,967,10.6033,R1
34175,4149.02,1759,903,11.4684,R1
34176,3548.18,1548,789,12.2597,R1
34177,4332.43,1146,568,13.0,R1
34164,3635.35,840,474,2.12262,R1
34165,4235.13,1985,1041,1.89169,R1
34166,3930.9,1984,1040,2.88609,R1
34167,4627.16,1984,1040,3.88609,R1
34168,3907.67,1983,1040,4.88149,R1
34169,3246.66,1980,1039,5.86919,R1
34170,3920.2,1977,1038,6.85837,R1
34171,4005.29,1965,1029,7.82087,R1
34172,3781.29,1948,1018,8.77567,R1
34173,3963.59,1918,1002,9.70959,R1
34174,4266.81,1858,967,10.6033,R1
34175,4179.43,1759,903,11.4684,R1
34176,3614.98,1548,789,12.2597,R1
34177,3286.35,1146,568,13.0,R1
34164,602.55,840,474,2.12262,R1
34165,604.905,593,321,2.17875,R1
34166,701.108,590,320,3.15593,R1
34167,748.539,590,320,4.15593,R1
34168,633.939,590,320,5.15593,R1
34169,727.445,588,320,6.12925,R1
34170,759.969,586,319,7.1058,R1
34171,798.434,580,314,8.04483,R1
34172,638.044,575,311,9.00174,R1
34173,653.719,565,305,9.93097,R1
34174,744.502,540,292,10.7889,R1
34175,612.944,500,265,11.612,R1
34176,639.311,417,220,12.3357,R1
34177,640.083,277,143,13.0,R1
34164,726.857,840,474,2.12262,R1
34165,770.336,746,418,2.10188,R1
